iter	Passed	Remaining
0	7	135
1	17	155
2	23	134
3	39	159
4	48	145
5	62	146
6	69	128
7	72	108
8	81	99
9	97	97
10	105	86
11	113	75
12	122	65
13	133	57
14	143	47
15	155	38
16	165	29
17	174	19
18	192	10
19	201	0
