iter	Logloss
0	0.687649654
1	0.6794413645
2	0.6744977229
3	0.6697178847
4	0.6652405122
5	0.6609743108
6	0.6569160413
7	0.6475963064
8	0.6439903617
9	0.6405650061
10	0.6368220677
11	0.6337195759
12	0.6307690633
13	0.6279611072
14	0.6229521655
15	0.6204304137
16	0.61802856
17	0.6146023484
18	0.6124363002
19	0.6095828315
20	0.6069859464
21	0.605130518
22	0.6033634283
23	0.6016826509
24	0.599585198
25	0.5980643881
26	0.5966184468
27	0.5952410149
28	0.5939290292
29	0.5926807557
30	0.5914919163
31	0.5903592166
32	0.5892801713
33	0.587456825
34	0.5864830593
35	0.5844409588
36	0.5835640345
37	0.5827269485
38	0.5802003852
39	0.5794519903
40	0.5763688928
41	0.5740723101
42	0.5721433886
43	0.5715503686
44	0.5709848159
45	0.569531123
46	0.5690201575
47	0.5685337103
48	0.5680695268
49	0.5676269701
50	0.5672056372
51	0.5667705668
52	0.5626437154
53	0.5622992328
54	0.5619694398
55	0.5581833661
56	0.5579011079
57	0.5576318638
58	0.5573758061
59	0.5571310845
60	0.5568978735
61	0.5566758844
62	0.5564648258
63	0.5562621565
64	0.5558742473
65	0.5542880396
66	0.5541183367
67	0.5539540296
68	0.5538001196
69	0.5536524586
70	0.5535126067
71	0.5533787728
72	0.5532514166
73	0.5531299062
74	0.551137638
75	0.5468180232
76	0.5467244542
77	0.5466350529
78	0.546550627
79	0.5464693852
80	0.5463924821
81	0.5463182444
82	0.5462484596
83	0.5461811091
84	0.544894563
85	0.5448364127
86	0.5447805786
87	0.5447272906
88	0.5445286245
89	0.5444800849
90	0.5444338025
91	0.5415558574
92	0.5415192427
93	0.5414842509
94	0.5414504749
95	0.5414190718
96	0.5413888281
97	0.5413599171
98	0.5387178784
99	0.5380062055
100	0.5379837803
101	0.5373086221
102	0.537288227
103	0.5372688744
104	0.5372503334
105	0.5372325459
106	0.5372157433
107	0.5358551926
108	0.5358409979
109	0.5347633113
110	0.5339186217
111	0.5339076175
112	0.5336054029
113	0.5335952704
114	0.5335857747
115	0.5335770327
116	0.5335685809
117	0.5314325875
118	0.5314254725
119	0.530492424
120	0.5304863542
